Timestamp,Entity Name,IP - LIMPOS
2025-08-01 15:36:00,INVERSOR_1,31.382.586.206.896.500
2025-08-01 15:46:00,INVERSOR_1,272.2
2025-08-01 15:56:00,INVERSOR_1,23.170.526.315.789.400
2025-08-01 16:06:00,INVERSOR_1,19.190.862.068.965.500
2025-08-01 16:16:00,INVERSOR_1,15.299.137.931.034.400
2025-08-01 16:26:00,INVERSOR_1,10.468.947.368.421.000
2025-08-01 16:36:00,INVERSOR_1,7.432.068.965.517.240
2025-08-01 16:46:00,INVERSOR_1,4.645.789.473.684.210
2025-08-01 16:56:00,INVERSOR_1,20.906.896.551.724.100
2025-08-01 17:06:00,INVERSOR_1,11.686.206.896.551.700
2025-08-01 17:16:00,INVERSOR_1,5.319.298.245.614.030
2025-08-01 17:26:00,INVERSOR_1,32.241.379.310.344.800
2025-08-01 17:36:00,INVERSOR_1,0
2025-08-01 17:46:00,INVERSOR_1,0
2025-08-01 17:56:00,INVERSOR_1,0
2025-08-01 18:06:00,INVERSOR_1,0
2025-08-01 18:16:00,INVERSOR_1,0
2025-08-01 18:26:00,INVERSOR_1,0
2025-08-01 18:36:00,INVERSOR_1,0
2025-08-01 18:46:00,INVERSOR_1,0
2025-08-01 18:56:00,INVERSOR_1,0
2025-08-01 19:06:00,INVERSOR_1,0
2025-08-01 19:16:00,INVERSOR_1,0
2025-08-01 19:26:00,INVERSOR_1,0
2025-08-01 19:36:00,INVERSOR_1,0
2025-08-01 19:46:00,INVERSOR_1,0
2025-08-01 19:56:00,INVERSOR_1,0
2025-08-01 20:06:00,INVERSOR_1,0
2025-08-01 20:16:00,INVERSOR_1,0
2025-08-01 20:26:00,INVERSOR_1,0
2025-08-01 20:36:00,INVERSOR_1,0
2025-08-01 20:46:00,INVERSOR_1,0
2025-08-01 20:56:00,INVERSOR_1,0
2025-08-01 21:06:00,INVERSOR_1,0
2025-08-01 21:16:00,INVERSOR_1,0
2025-08-01 21:26:00,INVERSOR_1,0
2025-08-01 21:36:00,INVERSOR_1,0
2025-08-01 21:46:00,INVERSOR_1,0
2025-08-01 21:56:00,INVERSOR_1,0
2025-08-01 22:06:00,INVERSOR_1,0
2025-08-01 22:16:00,INVERSOR_1,0
2025-08-01 22:26:00,INVERSOR_1,0
2025-08-01 22:36:00,INVERSOR_1,0
2025-08-01 22:46:00,INVERSOR_1,0
2025-08-01 22:56:00,INVERSOR_1,0
2025-08-01 23:06:00,INVERSOR_1,0
2025-08-01 23:16:00,INVERSOR_1,0
